"","Pclass","Sex","Age","Fare","Embarked","WithCabin","Survived","PassAlone"
"446","1","male",4,81.8583,"S","1","1","0"
"447","2","female",13,19.5,"S","0","1","0"
"448","1","male",34,26.55,"S","0","1","1"
"449","3","female",5,19.2583,"C","0","1","0"
"450","1","male",52,30.5,"S","1","1","1"
"451","2","male",36,27.75,"S","0","0","0"
"452","3","male",28.1074470549101,19.9667,"S","0","0","0"
"453","1","male",30,27.75,"C","1","0","1"
"454","1","male",49,89.1042,"C","1","1","0"
"455","3","male",30.1538650898157,8.05,"S","0","0","1"
"456","3","male",29,7.8958,"C","0","1","1"
"457","1","male",65,26.55,"S","1","0","1"
"458","1","female",40.6365723673952,51.8625,"S","1","1","0"
"459","2","female",50,10.5,"S","0","1","1"
"460","3","male",32.7322102076408,7.75,"Q","0","0","1"
"461","1","male",48,26.55,"S","1","1","1"
"462","3","male",34,8.05,"S","0","0","1"
"463","1","male",47,38.5,"S","1","0","1"
"464","2","male",48,13,"S","0","0","1"
"465","3","male",30.4147625257132,8.05,"S","0","0","1"
"466","3","male",38,7.05,"S","0","0","1"
"467","2","male",39.0922833220695,0,"S","0","0","1"
"468","1","male",56,26.55,"S","0","0","1"
"469","3","male",27.073871068527,7.725,"Q","0","0","1"
"470","3","female",0.75,19.2583,"C","0","1","0"
"471","3","male",28.0898604609343,7.25,"S","0","0","1"
"472","3","male",38,8.6625,"S","0","0","1"
"473","2","female",33,27.75,"S","0","1","0"
"474","2","female",23,13.7917,"C","1","1","1"
"475","3","female",22,9.8375,"S","0","0","1"
"476","1","male",44.3681121676752,52,"S","1","0","1"
"477","2","male",34,21,"S","0","0","0"
"478","3","male",29,7.0458,"S","0","0","0"
"479","3","male",22,7.5208,"S","0","0","1"
"480","3","female",2,12.2875,"S","0","1","0"
"481","3","male",9,46.9,"S","0","0","0"
"482","2","male",39.1972833220695,0,"S","0","0","1"
"483","3","male",50,8.05,"S","0","0","1"
"484","3","female",63,9.5875,"S","0","1","1"
"485","1","male",25,91.0792,"C","1","1","0"
"486","3","female",8.82710233918129,25.4667,"S","0","0","0"
"487","1","female",35,90,"S","1","1","0"
"488","1","male",58,29.7,"C","1","0","1"
"489","3","male",30,8.05,"S","0","0","1"
"490","3","male",9,15.9,"S","0","1","0"
"491","3","male",28.0191137215767,19.9667,"S","0","0","0"
"492","3","male",21,7.25,"S","0","0","1"
"493","1","male",55,30.5,"S","1","0","1"
"494","1","male",71,49.5042,"C","0","0","1"
"495","3","male",21,8.05,"S","0","0","1"
"496","3","male",24.7042513211489,14.4583,"C","0","0","1"
"497","1","female",54,78.2667,"C","1","1","0"
"498","3","male",28.1303529652146,15.1,"S","0","0","1"
"499","1","female",25,151.55,"S","1","0","0"
"500","3","male",24,7.7958,"S","0","0","1"
"501","3","male",17,8.6625,"S","0","0","1"
"502","3","female",21,7.75,"Q","0","0","1"
"503","3","female",23.9353411554062,7.6292,"Q","0","0","1"
"504","3","female",37,9.5875,"S","0","0","1"
"505","1","female",16,86.5,"S","1","1","1"
"506","1","male",18,108.9,"C","1","0","0"
"507","2","female",33,26,"S","0","1","0"
"508","1","male",51.3828271305343,26.55,"S","0","1","1"
"509","3","male",28,22.525,"S","0","0","1"
"510","3","male",26,56.4958,"S","0","1","1"
"511","3","male",29,7.75,"Q","0","1","1"
"512","3","male",29.4984279444879,8.05,"S","0","0","1"
"513","1","male",36,26.2875,"S","1","1","1"
"514","1","female",54,59.4,"C","0","1","0"
"515","3","male",24,7.4958,"S","0","0","1"
"516","1","male",47,34.0208,"S","1","0","1"
"517","2","female",34,10.5,"S","1","1","1"
"518","3","male",32.0801461723983,24.15,"Q","0","0","1"
"519","2","female",36,26,"S","0","1","0"
"520","3","male",32,7.8958,"S","0","0","1"
"521","1","female",30,93.5,"S","1","1","1"
"522","3","male",22,7.8958,"S","0","0","1"
"523","3","male",28.3496981993187,7.225,"C","0","0","1"
"524","1","female",44,57.9792,"C","1","1","0"
"525","3","male",26.837801554297,7.2292,"C","0","0","1"
"526","3","male",40.5,7.75,"Q","0","0","1"
"527","2","female",50,10.5,"S","0","1","1"
"528","1","male",39.0518347189614,221.7792,"S","1","0","1"
"529","3","male",39,7.925,"S","0","0","1"
"530","2","male",23,11.5,"S","0","0","0"
"531","2","female",2,26,"S","0","1","0"
"532","3","male",26.9671197361152,7.2292,"C","0","0","1"
"533","3","male",17,7.2292,"C","0","0","0"
"534","3","female",13.1895774605786,22.3583,"C","0","1","0"
"535","3","female",30,8.6625,"S","0","0","1"
"536","2","female",7,26.25,"S","0","1","0"
"537","1","male",45,26.55,"S","1","0","1"
"538","1","female",30,106.425,"C","0","1","1"
"539","3","male",27.4477296734736,14.5,"S","0","0","1"
"540","1","female",22,49.5,"C","1","1","0"
"541","1","female",36,71,"S","1","1","0"
"542","3","female",9,31.275,"S","0","0","0"
"543","3","female",11,31.275,"S","0","0","0"
"544","2","male",32,26,"S","0","1","0"
"545","1","male",50,106.425,"C","1","0","0"
"546","1","male",64,26,"S","0","0","1"
"547","2","female",19,26,"S","0","1","0"
"548","2","male",32.9972588053822,13.8625,"C","0","1","1"
"549","3","male",33,20.525,"S","0","0","0"
"550","2","male",8,36.75,"S","0","1","0"
"551","1","male",17,110.8833,"C","1","1","0"
"552","2","male",27,26,"S","0","0","1"
"553","3","male",30.6647391052501,7.8292,"Q","0","0","1"
"554","3","male",22,7.225,"C","0","1","1"
"555","3","female",22,7.775,"S","0","1","1"
"556","1","male",62,26.55,"S","0","0","1"
"557","1","female",48,39.6,"C","1","1","0"
"558","1","male",37.007016025641,227.525,"C","0","0","1"
"559","1","female",39,79.65,"S","1","1","0"
"560","3","female",36,17.4,"S","0","1","0"
"561","3","male",33.8814282690658,7.75,"Q","0","0","1"
"562","3","male",40,7.8958,"S","0","0","1"
"563","2","male",28,13.5,"S","0","0","1"
"564","3","male",29.7843597626698,8.05,"S","0","0","1"
"565","3","female",25.5818204412143,8.05,"S","0","0","1"
"566","3","male",24,24.15,"S","0","0","0"
"567","3","male",19,7.8958,"S","0","0","1"
"568","3","female",29,21.075,"S","0","0","0"
"569","3","male",27.3522030694485,7.2292,"C","0","0","1"
"570","3","male",32,7.8542,"S","0","1","1"
"571","2","male",62,10.5,"S","0","1","1"
"572","1","female",53,51.4792,"S","1","1","0"
"573","1","male",36,26.3875,"S","1","1","1"
"574","3","female",24.7830609191773,7.75,"Q","0","1","1"
"575","3","male",16,8.05,"S","0","0","1"
"576","3","male",19,14.5,"S","0","0","1"
"577","2","female",34,13,"S","0","1","1"
"578","1","female",39,55.9,"S","1","1","0"
"579","3","female",20.4962656488337,14.4583,"C","0","0","0"
"580","3","male",32,7.925,"S","0","1","1"
"581","2","female",25,30,"S","0","1","0"
"582","1","female",39,110.8833,"C","1","1","0"
"583","2","male",54,26,"S","0","0","1"
"584","1","male",36,40.125,"C","1","0","1"
"585","3","male",27.3354628224201,8.7125,"C","0","0","1"
"586","1","female",18,79.65,"S","1","1","0"
"587","2","male",47,15,"S","0","0","1"
"588","1","male",60,79.2,"C","1","1","0"
"589","3","male",22,8.05,"S","0","0","1"
"590","3","male",29.5926997385857,8.05,"S","0","0","1"
"591","3","male",35,7.125,"S","0","0","1"
"592","1","female",52,78.2667,"C","1","1","0"
"593","3","male",47,7.25,"S","0","0","1"
"594","3","female",25.3026733374607,7.75,"Q","0","0","0"
"595","2","male",37,26,"S","0","0","0"
"596","3","male",36,24.15,"S","0","0","0"
"597","2","female",25.9696618999403,33,"S","0","1","1"
"598","3","male",49,0,"S","0","0","1"
"599","3","male",29.365242571613,7.225,"C","0","0","1"
"600","1","male",49,56.9292,"C","1","1","0"
"601","2","female",24,27,"S","0","1","0"
"602","3","male",29.5130734962198,7.8958,"S","0","0","1"
"603","1","male",38.6860000902682,42.4,"S","0","0","1"
"604","3","male",44,8.05,"S","0","0","1"
"605","1","male",35,26.55,"C","0","1","1"
"606","3","male",36,15.55,"S","0","0","0"
"607","3","male",30,7.8958,"S","0","0","1"
"608","1","male",27,30.5,"S","0","1","1"
"609","2","female",22,41.5792,"C","0","1","0"
"610","1","female",40,153.4625,"S","1","1","1"
"611","3","female",39,31.275,"S","0","0","0"
"612","3","male",34.0115720838353,7.05,"S","0","0","1"
"613","3","female",29.0365495572786,15.5,"Q","0","1","0"
"614","3","male",33.4228062883895,7.75,"Q","0","0","1"
"615","3","male",35,8.05,"S","0","0","1"
"616","2","female",24,65,"S","0","1","0"
"617","3","male",34,14.4,"S","0","0","0"
"618","3","female",26,16.1,"S","0","0","0"
"619","2","female",4,39,"S","1","1","0"
"620","2","male",26,10.5,"S","0","0","1"
"621","3","male",27,14.4542,"C","0","0","0"
"622","1","male",42,52.5542,"S","1","1","0"
"623","3","male",20,15.7417,"C","0","1","0"
"624","3","male",21,7.8542,"S","0","0","1"
"625","3","male",21,16.1,"S","0","0","1"
"626","1","male",61,32.3208,"S","1","0","1"
"627","2","male",57,12.35,"Q","0","0","1"
"628","1","female",21,77.9583,"S","1","1","1"
"629","3","male",26,7.8958,"S","0","0","1"
"630","3","male",28.2920704405922,7.7333,"Q","0","0","1"
"631","1","male",80,30,"S","1","1","1"
"632","3","male",51,7.0542,"S","0","0","1"
"633","1","male",32,30.5,"C","1","1","1"
"634","1","male",43.9766029887923,0,"S","0","0","1"
"635","3","female",9,27.9,"S","0","0","0"
"636","2","female",28,13,"S","0","1","1"
"637","3","male",32,7.925,"S","0","0","1"
"638","2","male",31,26.25,"S","0","0","0"
"639","3","female",41,39.6875,"S","0","0","0"
"640","3","male",27.6876937977239,16.1,"S","0","0","0"
"641","3","male",20,7.8542,"S","0","0","1"
"642","1","female",24,69.3,"C","1","1","1"
"643","3","female",2,27.9,"S","0","0","0"
"644","3","male",27.3879277931521,56.4958,"S","0","1","1"
"645","3","female",0.75,19.2583,"C","0","1","0"
"646","1","male",48,76.7292,"C","1","1","0"
"647","3","male",19,7.8958,"S","0","0","1"
"648","1","male",56,35.5,"C","1","1","1"
"649","3","male",30.4642862557336,7.55,"S","0","0","1"
"650","3","female",23,7.55,"S","0","1","1"
"651","3","male",26.7340111669829,7.8958,"S","0","0","1"
"652","2","female",18,23,"S","0","1","0"
"653","3","male",21,8.4333,"S","0","0","1"
"654","3","female",23.750455647358,7.8292,"Q","0","1","1"
"655","3","female",18,6.75,"Q","0","0","1"
"656","2","male",24,73.5,"S","0","0","0"
"657","3","male",26.985122278094,7.8958,"S","0","0","1"
"658","3","female",32,15.5,"Q","0","0","0"
"659","2","male",23,13,"S","0","0","1"
"660","1","male",58,113.275,"C","1","0","0"
"661","1","male",50,133.65,"S","0","1","0"
"662","3","male",40,7.225,"C","0","0","1"
"663","1","male",47,25.5875,"S","1","0","1"
"664","3","male",36,7.4958,"S","0","0","1"
"665","3","male",20,7.925,"S","0","1","0"
"666","2","male",32,73.5,"S","0","0","0"
"667","2","male",25,13,"S","0","0","1"
"668","3","male",28.0431675397328,7.775,"S","0","0","1"
"669","3","male",43,8.05,"S","0","0","1"
"670","1","female",36.2891132423097,52,"S","1","1","0"
"671","2","female",40,39,"S","0","1","0"
"672","1","male",31,52,"S","1","0","0"
"673","2","male",70,10.5,"S","0","0","1"
"674","2","male",31,13,"S","0","1","1"
"675","2","male",39.9483420298225,0,"S","0","0","1"
"676","3","male",18,7.775,"S","0","0","1"
"677","3","male",24.5,8.05,"S","0","0","1"
"678","3","female",18,9.8417,"S","0","1","1"
"679","3","female",43,46.9,"S","0","0","0"
"680","1","male",36,512.3292,"C","1","1","0"
"681","3","female",22.8698572700409,8.1375,"Q","0","0","1"
"682","1","male",27,76.7292,"C","1","1","1"
"683","3","male",20,9.225,"S","0","0","1"
"684","3","male",14,46.9,"S","0","0","0"
"685","2","male",60,39,"S","0","0","0"
"686","2","male",25,41.5792,"C","0","0","0"
"687","3","male",14,39.6875,"S","0","0","0"
"688","3","male",19,10.1708,"S","0","0","1"
"689","3","male",18,7.7958,"S","0","0","1"
"690","1","female",15,211.3375,"S","1","1","0"
"691","1","male",31,57,"S","1","1","0"
"692","3","female",4,13.4167,"C","0","1","0"
"693","3","male",28.0411086420816,56.4958,"S","0","1","1"
"694","3","male",25,7.225,"C","0","0","1"
"695","1","male",60,26.55,"S","0","0","1"
"696","2","male",52,13.5,"S","0","0","1"
"697","3","male",44,8.05,"S","0","0","1"
"698","3","female",23.5918051021737,7.7333,"Q","0","1","1"
"699","1","male",49,110.8833,"C","1","0","0"
"700","3","male",42,7.65,"S","1","0","1"
"701","1","female",18,227.525,"C","1","1","0"
"702","1","male",35,26.2875,"S","1","1","1"
"703","3","female",18,14.4542,"C","0","0","0"
"704","3","male",25,7.7417,"Q","0","0","1"
"705","3","male",26,7.8542,"S","0","0","0"
"706","2","male",39,26,"S","0","0","1"
"707","2","female",45,13.5,"S","0","1","1"
"708","1","male",42,26.2875,"S","1","1","1"
"709","1","female",22,151.55,"S","0","1","1"
"710","3","male",14.4089865089808,15.2458,"C","0","1","0"
"711","1","female",24,49.5042,"C","1","1","1"
"712","1","male",42.6333006974508,26.55,"S","1","0","1"
"713","1","male",48,52,"S","1","1","0"
"714","3","male",29,9.4833,"S","0","0","1"
"715","2","male",52,13,"S","0","0","1"
"716","3","male",19,7.65,"S","1","0","1"
"717","1","female",38,227.525,"C","1","1","1"
"718","2","female",27,10.5,"S","1","1","1"
"719","3","male",32.1716951454451,15.5,"Q","0","0","1"
"720","3","male",33,7.775,"S","0","0","1"
"721","2","female",6,33,"S","0","1","0"
"722","3","male",17,7.0542,"S","0","0","0"
"723","2","male",34,13,"S","0","0","1"
"724","2","male",50,13,"S","0","0","1"
"725","1","male",27,53.1,"S","1","1","0"
"726","3","male",20,8.6625,"S","0","0","1"
"727","2","female",30,21,"S","0","1","0"
"728","3","female",24.0793051021737,7.7375,"Q","0","1","1"
"729","2","male",25,26,"S","0","0","0"
"730","3","female",25,7.925,"S","0","0","0"
"731","1","female",29,211.3375,"S","1","1","1"
"732","3","male",11,18.7875,"C","0","0","1"
"733","2","male",37.5676137234962,0,"S","0","0","1"
"734","2","male",23,13,"S","0","0","1"
"735","2","male",23,13,"S","0","0","1"
"736","3","male",28.5,16.1,"S","0","0","1"
"737","3","female",48,34.375,"S","0","0","0"
"738","1","male",35,512.3292,"C","1","1","1"
"739","3","male",27.7995643280299,7.8958,"S","0","0","1"
"740","3","male",27.7995643280299,7.8958,"S","0","0","1"
"741","1","male",38.0456602388755,30,"S","1","1","1"
"742","1","male",36,78.85,"S","1","0","0"
"743","1","female",21,262.375,"C","1","1","0"
"744","3","male",24,16.1,"S","0","0","0"
"745","3","male",31,7.925,"S","0","1","1"
"746","1","male",70,71,"S","1","0","0"
"747","3","male",16,20.25,"S","0","0","0"
"748","2","female",30,13,"S","0","1","1"
"749","1","male",19,53.1,"S","1","0","0"
"750","3","male",31,7.75,"Q","0","0","1"
"751","2","female",4,23,"S","0","1","0"
"752","3","male",6,12.475,"S","1","1","0"
"753","3","male",33,9.5,"S","0","0","1"
"754","3","male",23,7.8958,"S","0","0","1"
"755","2","female",48,65,"S","0","1","0"
"756","2","male",0.67,14.5,"S","0","1","0"
"757","3","male",28,7.7958,"S","0","0","1"
"758","2","male",18,11.5,"S","0","0","1"
"759","3","male",34,8.05,"S","0","0","1"
"760","1","female",33,86.5,"S","1","1","1"
"761","3","male",28.033866267466,14.5,"S","0","0","1"
"762","3","male",41,7.125,"S","0","0","1"
"763","3","male",20,7.2292,"C","0","1","1"
"764","1","female",36,120,"S","1","1","0"
"765","3","male",16,7.775,"S","0","0","1"
"766","1","female",51,77.9583,"S","1","1","0"
"767","1","male",38.6576077324447,39.6,"C","0","0","1"
"768","3","female",30.5,7.75,"Q","0","0","1"
"769","3","male",30.4533155448432,24.15,"Q","0","0","0"
"770","3","male",32,8.3625,"S","0","0","1"
"771","3","male",24,9.5,"S","0","0","1"
"772","3","male",48,7.8542,"S","0","0","1"
"773","2","female",57,10.5,"S","1","0","1"
"774","3","male",27.8620128497936,7.225,"C","0","0","1"
"775","2","female",54,23,"S","0","1","0"
"776","3","male",18,7.75,"S","0","0","1"
"777","3","male",28.910203563423,7.75,"Q","1","0","1"
"778","3","female",5,12.475,"S","0","1","1"
"779","3","male",28.0811243705714,7.7375,"Q","0","0","1"
"780","1","female",43,211.3375,"S","1","1","0"
"781","3","female",13,7.2292,"C","0","1","1"
"782","1","female",17,57,"S","1","1","0"
"783","1","male",29,30,"S","1","0","1"
"784","3","male",16.2096331772666,23.45,"S","0","0","0"
"785","3","male",25,7.05,"S","0","0","1"
"786","3","male",25,7.25,"S","0","0","1"
"787","3","female",18,7.4958,"S","0","1","1"
"788","3","male",8,29.125,"Q","0","0","0"
"789","3","male",1,20.575,"S","0","1","0"
"790","1","male",46,79.2,"C","1","0","1"
"791","3","male",31.1622795270012,7.75,"Q","0","0","1"
"792","2","male",16,26,"S","0","0","1"
"793","3","female",12.9227955903745,69.55,"S","0","0","0"
"794","1","male",36.7740570788499,30.6958,"C","0","0","1"
"795","3","male",25,7.8958,"S","0","0","1"
"796","2","male",39,13,"S","0","0","1"
"797","1","female",49,25.9292,"S","1","1","1"
"798","3","female",31,8.6833,"S","0","1","1"
"799","3","male",30,7.2292,"C","0","0","1"
"800","3","female",30,24.15,"S","0","0","0"
"801","2","male",34,13,"S","0","0","1"
"802","2","female",31,26.25,"S","0","1","0"
"803","1","male",11,120,"S","1","1","0"
"804","3","male",0.42,8.5167,"C","0","1","0"
"805","3","male",27,6.975,"S","0","1","1"
"806","3","male",31,7.775,"S","0","0","1"
"807","1","male",39,0,"S","1","0","1"
"808","3","female",18,7.775,"S","0","0","1"
"809","2","male",39,13,"S","0","0","1"
"810","1","female",33,53.1,"S","1","1","0"
"811","3","male",26,7.8875,"S","0","0","1"
"812","3","male",39,24.15,"S","0","0","1"
"813","2","male",35,10.5,"S","0","0","1"
"814","3","female",6,31.275,"S","0","0","0"
"815","3","male",30.5,8.05,"S","0","0","1"
"816","1","male",40.4376034355256,0,"S","1","0","1"
"817","3","female",23,7.925,"S","0","0","1"
"818","2","male",31,37.0042,"C","0","0","0"
"819","3","male",43,6.45,"S","0","0","1"
"820","3","male",10,27.9,"S","0","0","0"
"821","1","female",52,93.5,"S","1","1","0"
"822","3","male",27,8.6625,"S","0","1","1"
"823","1","male",38,0,"S","0","0","1"
"824","3","female",27,12.475,"S","1","1","0"
"825","3","male",2,39.6875,"S","0","0","0"
"826","3","male",28.2319473378951,6.95,"Q","0","0","1"
"827","3","male",29.3805555285285,56.4958,"S","0","0","1"
"828","2","male",1,37.0042,"C","0","1","0"
"829","3","male",31.3357196979414,7.75,"Q","0","1","1"
"830","1","female",62,80,"S","1","1","1"
"831","3","female",15,14.4542,"C","0","1","0"
"832","2","male",0.83,18.75,"S","0","1","0"
"833","3","male",27.7089930966301,7.2292,"C","0","0","1"
"834","3","male",23,7.8542,"S","0","0","1"
"835","3","male",18,8.3,"S","0","0","1"
"836","1","female",39,83.1583,"C","1","1","0"
"837","3","male",21,8.6625,"S","0","0","1"
"838","3","male",27.3378566978113,8.05,"S","0","0","1"
"839","3","male",32,56.4958,"S","0","1","1"
"840","1","male",36.9903064312835,29.7,"C","1","1","1"
"841","3","male",20,7.925,"S","0","0","1"
"842","2","male",16,10.5,"S","0","0","1"
"843","1","female",30,31,"C","0","1","1"
"844","3","male",34.5,6.4375,"C","0","0","1"
"845","3","male",17,8.6625,"S","0","0","1"
"846","3","male",42,7.55,"S","0","0","1"
"847","3","male",12.6147379462643,69.55,"S","0","0","0"
"848","3","male",35,7.8958,"C","0","0","1"
"849","2","male",28,33,"S","0","0","0"
"850","1","female",36.2623411751928,89.1042,"C","1","1","0"
"851","3","male",4,31.275,"S","0","0","0"
"852","3","male",74,7.775,"S","0","0","1"
"853","3","female",9,15.2458,"C","0","0","0"
"854","1","female",16,39.4,"S","1","1","0"
"855","2","female",44,26,"S","0","0","0"
"856","3","female",18,9.35,"S","0","1","0"
"857","1","female",45,164.8667,"S","0","1","0"
"858","1","male",51,26.55,"S","1","1","1"
"859","3","female",24,19.2583,"C","0","1","0"
"860","3","male",32.3160157600181,7.2292,"C","0","0","1"
"861","3","male",41,14.1083,"S","0","0","0"
"862","2","male",21,11.5,"S","0","0","0"
"863","1","female",48,25.9292,"S","1","1","1"
"864","3","female",12.6261289237079,69.55,"S","0","0","0"
"865","2","male",24,13,"S","0","0","1"
"866","2","female",42,13,"S","0","1","1"
"867","2","female",27,13.8583,"C","0","1","0"
"868","1","male",31,50.4958,"S","1","0","1"
"869","3","male",29.3510375712766,9.5,"S","0","0","1"
"870","3","male",4,11.1333,"S","0","1","0"
"871","3","male",26,7.8958,"S","0","0","1"
"872","1","female",47,52.5542,"S","1","1","0"
"873","1","male",33,5,"S","1","0","1"
"874","3","male",47,9,"S","0","0","1"
"875","2","female",28,24,"C","0","1","0"
"876","3","female",15,7.225,"C","0","1","1"
"877","3","male",20,9.8458,"S","0","0","1"
"878","3","male",19,7.8958,"S","0","0","1"
"879","3","male",26.8240634011047,7.8958,"S","0","0","1"
"880","1","female",56,83.1583,"C","1","1","0"
"881","2","female",25,26,"S","0","1","0"
"882","3","male",33,7.8958,"S","0","0","1"
"883","3","female",22,10.5167,"S","0","0","1"
"884","2","male",28,10.5,"S","0","0","1"
"885","3","male",25,7.05,"S","0","0","1"
"886","3","female",39,29.125,"Q","0","0","0"
"887","2","male",27,13,"S","0","0","1"
"888","1","female",19,30,"S","1","1","1"
"889","3","female",23.7627681219976,23.45,"S","0","0","0"
"890","1","male",26,30,"C","1","1","1"
"891","3","male",32,7.75,"Q","0","0","1"
